Mod Name,Texture File Name,Average Hex Code
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,terrarium_flax.png,#6e6e4d
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,terrarium_flower.png,#5e7754
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,terrarium_glowshroom.png,#5e7a58
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,terrarium_koru.png,#414d3a
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,terrarium_mushroom.png,#7f6157
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,terrarium_mystic.png,#69837b
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,terrarium_nether.png,#73572f
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,terrarium_ominous.png,#443e42
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,terrarium_origin.png,#7e7c3f
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,terrarium_wasteland.png,#6c664f
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,topaz_block.png,#d26d1e
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,topaz_ore.png,#89786b
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,umbran_log.png,#41343f
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,umbran_log_top.png,#63536f
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,umbran_planks.png,#655573
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,white_sand.png,#f3f1e3
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,white_sandstone_bottom.png,#eeecdd
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,white_sandstone_carved.png,#eeedde
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,white_sandstone_normal.png,#f1f0e2
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,white_sandstone_smooth.png,#f4f2e5
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,white_sandstone_top.png,#f3f1e3
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,willow_log.png,#4d5233
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,willow_log_top.png,#828e66
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,willow_planks.png,#838e6b
blockcraftery-1.12.2-1.3.1.jar,editable_block.png,#543e17
blockcraftery-1.12.2-1.3.1.jar,editable_block_reinforced.png,#53452a
cfm-rebuilt-1.12.2-6.9.0.jar,spruce_wood.png,#775b35
cfm-rebuilt-1.12.2-6.9.0.jar,jungle_wood.png,#ad8556
cfm-rebuilt-1.12.2-6.9.0.jar,oak_wood.png,#b8965a
cfm-rebuilt-1.12.2-6.9.0.jar,whiteglass.png,#ffffff
cfm-rebuilt-1.12.2-6.9.0.jar,birch_wood.png,#c9b47a
cfm-rebuilt-1.12.2-6.9.0.jar,dark_oak_wood.png,#634e32
cfm-rebuilt-1.12.2-6.9.0.jar,acacia_wood.png,#b35e3c
cfm-rebuilt-1.12.2-6.9.0.jar,mesh.png,#404040
cfm-rebuilt-1.12.2-6.9.0.jar,netting.png,#282828
cfm-rebuilt-1.12.2-6.9.0.jar,mesh_grill.png,#666666
cfm-rebuilt-1.12.2-6.9.0.jar,model_block_dark.png,#323232
cfm-rebuilt-1.12.2-6.9.0.jar,model_block_light.png,#babec6
FutureVersions+v1.3.1(1).jar,acacia_trapdoor.png,#9c5733
FutureVersions+v1.3.1(1).jar,ancient_debris_side.png,#5f3f37
FutureVersions+v1.3.1(1).jar,ancient_debris_top.png,#5e423a
FutureVersions+v1.3.1(1).jar,andesite.png,#828383
FutureVersions+v1.3.1(1).jar,barrel_bottom.png,#795933
FutureVersions+v1.3.1(1).jar,barrel_side.png,#6b5132
FutureVersions+v1.3.1(1).jar,barrel_top.png,#86643a
FutureVersions+v1.3.1(1).jar,basalt_side.png,#49484d
FutureVersions+v1.3.1(1).jar,basalt_top.png,#505156
FutureVersions+v1.3.1(1).jar,beehive_end.png,#b4925a
FutureVersions+v1.3.1(1).jar,beehive_front.png,#9f804d
FutureVersions+v1.3.1(1).jar,beehive_front_honey.png,#a7834a
FutureVersions+v1.3.1(1).jar,beehive_side.png,#9d7e4b
FutureVersions+v1.3.1(1).jar,bee_nest_bottom.png,#a07f57
FutureVersions+v1.3.1(1).jar,bee_nest_front.png,#b78d4c
FutureVersions+v1.3.1(1).jar,bee_nest_front_honey.png,#c2974b
FutureVersions+v1.3.1(1).jar,bee_nest_side.png,#c4964d
